HotelID,HotelName,HotelLocation,HotelEmail,HotelHotline
HO1,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO2,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO3,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO4,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO5,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO6,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO7,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO8,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
HO9,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
H10,Zers Ocean Hotel,"30th Street Corner 11th Avenue, Manila, 1630",info.@zersocean.com,1-888-255-0199
